feature,importance
elem_Mn,0.2607750481927794
natoms,0.08715539936481992
elem_Cr,0.08023205394492865
elem_Fe,0.06364115902680191
elem_V,0.03821846946343927
elem_Co,0.03752015284400125
elem_Se,0.02798432068527892
elem_Ni,0.025687074649083777
elem_Te,0.025348260822674613
elem_Br,0.023472042637992987
elem_S,0.022421108012785886
elem_O,0.020241630670316996
elem_Cl,0.020116748061913946
elem_Hf,0.018584529755371733
elem_H,0.014739448276615434
elem_Zr,0.014482854000903048
elem_N,0.01155192356998769
elem_F,0.011202778104619514
elem_Ca,0.010982159094085522
elem_Zn,0.010702147981092593
elem_C,0.010602911600850055
elem_I,0.009954409746753351
elem_Ru,0.009539691632480458
elem_Sr,0.00953071564105319
elem_Ga,0.007963774013642
elem_Ti,0.007962452762655158
elem_Al,0.007861984908354346
elem_Cd,0.006933029054685051
elem_Cu,0.006345351324938074
elem_Os,0.005740495390691198
elem_B,0.005740151646843091
elem_Nb,0.00531461214900011
elem_Mo,0.005235373015467171
elem_In,0.005196876049978189
elem_Ba,0.004729104474195125
elem_Pd,0.00462415955569427
elem_W,0.004572669466128937
elem_Ag,0.004146509985552742
elem_As,0.004054481048186622
elem_Sc,0.0038130281610175443
elem_Ta,0.0037821417919870937
elem_Sb,0.0032191892449577775
elem_Hg,0.003044717976819911
elem_Na,0.002969979388945468
elem_K,0.0026279749910334987
elem_Au,0.0025161517785412145
elem_Li,0.002500085984372049
elem_Re,0.002204073969046192
elem_Rh,0.0021710600217577287
elem_Ge,0.0021611433516418228
elem_P,0.00210529591078536
elem_Pb,0.0017747609743247249
elem_Pt,0.001697095977935857
elem_Rb,0.0016873591438353816
elem_Si,0.0016001488670081686
elem_Mg,0.0015635283830360304
elem_Y,0.0015492238040766561
elem_Tl,0.0012575933461326059
elem_Sn,0.0012242748150237484
elem_Cs,0.001176124056283408
elem_Bi,0.0010799514853418821
elem_Ir,0.001049209699898369
elem_Be,0.00011782424955542437
elem_Xe,0.0
